invoice_number,vendor,amount,date,file_path,days_overdue,duplicate_count,department,payment_term,label
800,"Pugh, Henderson and Moon",18690.69,2023-08-29,data/invoices/INV-00800.pdf,7,1,Admin,Net 90,0
3571,Smith-Bell,12210.13,2024-03-31,data/invoices/INV-03571.pdf,13,1,IT,Immediate,0
2895,Navarro-Munoz,18991.92,2023-02-11,data/invoices/INV-02895.pdf,3,1,HR,Net 90,0
2928,"Hoffman, Santiago and Jenkins",21709.56,2024-06-18,data/invoices/INV-02928.pdf,6,1,Admin,Net 15,0
8179,Thompson-James,116355.16,2023-07-13,data/invoices/INV-08179.pdf,1,5,Finance,Net 30,1
972,Novak PLC,10505.18,2023-01-30,data/invoices/INV-00972.pdf,5,1,HR,Net 90,0
6688,Patton-Jenkins,15110.14,2024-05-14,data/invoices/INV-06688.pdf,11,1,Admin,Net 30,0
8576,Robertson-Hays,147194.86,2023-12-01,data/invoices/INV-08576.pdf,0,4,Operations,Net 30,1
2021,"Tapia, Vaughn and Lee",15721.08,2023-08-29,data/invoices/INV-02021.pdf,11,1,Operations,Net 15,0
9055,"Miller, Lucas and Williams",42290.2,2024-06-07,data/invoices/INV-09055.pdf,2,4,Legal,Immediate,1
953,"Pugh, Henderson and Moon",14044.03,2023-01-06,data/invoices/INV-00953.pdf,15,1,HR,Net 60,0
5360,Fernandez and Sons,24881.4,2023-06-28,data/invoices/INV-05360.pdf,10,1,Legal,Net 60,0
3858,Vargas Ltd,21013.73,2023-02-16,data/invoices/INV-03858.pdf,14,1,Operations,Immediate,0
5862,"Le, Lewis and Hayes",21631.08,2023-12-28,data/invoices/INV-05862.pdf,12,1,IT,Net 30,0
3146,"Romero, Gonzalez and Brooks",12894.21,2023-09-26,data/invoices/INV-03146.pdf,3,1,Marketing,Net 30,0
3306,"Henderson, Ramirez and Lewis",12778.64,2024-01-22,data/invoices/INV-03306.pdf,5,1,Finance,Net 90,0
3007,"Watts, Robinson and Nguyen",16172.14,2024-03-08,data/invoices/INV-03007.pdf,11,1,Admin,Net 90,0
9002,Berry-Mckinney,42757.22,2024-06-12,data/invoices/INV-09002.pdf,2,6,Operations,Net 30,1
7771,Gilbert PLC,109094.24,2023-01-19,data/invoices/INV-07771.pdf,3,6,Finance,Net 90,1
7439,Blackwell LLC,131719.97,2024-05-07,data/invoices/INV-07439.pdf,0,2,Admin,Net 30,1
7943,Acosta Inc,146571.78,2024-04-10,data/invoices/INV-07943.pdf,2,2,HR,Net 90,1
9239,Cooper Ltd,76193.8,2023-11-08,data/invoices/INV-09239.pdf,2,4,Admin,Net 15,1
1057,"Woods, Calhoun and Schmidt",1836.66,2023-03-14,data/invoices/INV-01057.pdf,8,1,Admin,Immediate,0
3155,Garcia-Jennings,11568.32,2024-06-02,data/invoices/INV-03155.pdf,12,1,Marketing,Net 90,0
3788,"Evans, Stewart and Walton",17036.28,2023-07-07,data/invoices/INV-03788.pdf,12,1,Operations,Net 30,0
9190,"Fuller, Ingram and Moss",40176.13,2023-01-09,data/invoices/INV-09190.pdf,3,6,Legal,Net 30,1
7826,"Lamb, Martin and Kim",48601.17,2023-07-19,data/invoices/INV-07826.pdf,0,6,IT,Net 60,1
7540,"Lopez, Jacobs and Mason",99310.48,2024-04-13,data/invoices/INV-07540.pdf,1,5,IT,Net 60,1
7232,Cole-Palmer,72638.65,2023-09-12,data/invoices/INV-07232.pdf,2,5,Admin,Net 90,1
765,Wagner-King,15316.8,2023-03-12,data/invoices/INV-00765.pdf,7,1,Operations,Immediate,0
5020,"Avery, Horton and Fernandez",14262.81,2023-04-13,data/invoices/INV-05020.pdf,6,1,Operations,Immediate,0
4904,House-Glover,2119.04,2024-04-19,data/invoices/INV-04904.pdf,8,1,Marketing,Net 90,0
8094,"Butler, Beck and Miller",125209.64,2023-07-11,data/invoices/INV-08094.pdf,3,5,Finance,Immediate,1
6844,"Hurst, Freeman and Nelson",23672.37,2024-02-19,data/invoices/INV-06844.pdf,9,1,Marketing,Net 30,0
2166,"Daniels, Adkins and Brown",5001.62,2023-12-27,data/invoices/INV-02166.pdf,13,1,Operations,Net 30,0
1863,"Lucas, Parker and Alexander",24269.0,2023-01-02,data/invoices/INV-01863.pdf,15,1,Admin,Net 60,0
7851,Ortiz-Morgan,127753.86,2024-04-15,data/invoices/INV-07851.pdf,3,2,Legal,Immediate,1
9124,Carlson-Smith,107642.18,2023-04-02,data/invoices/INV-09124.pdf,1,5,Finance,Immediate,1
2341,"Pierce, Bell and Chavez",21453.01,2023-05-30,data/invoices/INV-02341.pdf,10,1,Marketing,Net 90,0
5528,Wilson-Jones,12308.76,2024-06-25,data/invoices/INV-05528.pdf,14,1,Legal,Immediate,0
6744,Ross LLC,10599.01,2023-03-28,data/invoices/INV-06744.pdf,13,1,Admin,Net 90,0
4004,"Tapia, Vaughn and Lee",5118.78,2023-10-26,data/invoices/INV-04004.pdf,5,1,IT,Net 60,0
1124,"Barnett, Rogers and Snyder",12373.72,2024-03-06,data/invoices/INV-01124.pdf,14,1,Legal,Net 30,0
8710,"Osborn, Gaines and Davis",59325.36,2023-04-05,data/invoices/INV-08710.pdf,3,5,IT,Net 30,1
4050,"Shaw, Nelson and Martin",22485.11,2023-09-10,data/invoices/INV-04050.pdf,3,1,Finance,Net 60,0
7641,Combs Ltd,79902.88,2024-04-13,data/invoices/INV-07641.pdf,1,3,Marketing,Immediate,1
766,"Barnett, Rogers and Snyder",3605.68,2023-07-27,data/invoices/INV-00766.pdf,13,1,Admin,Net 60,0
2345,Peterson-Beard,6888.44,2023-08-20,data/invoices/INV-02345.pdf,14,1,Legal,Net 60,0
4072,"Martin, Rose and Obrien",6039.21,2023-02-11,data/invoices/INV-04072.pdf,6,1,Finance,Net 60,0
7217,"Mullen, Brewer and Hernandez",149244.3,2023-05-30,data/invoices/INV-07217.pdf,3,2,Admin,Net 60,1
4217,Davis Group,12247.45,2023-11-16,data/invoices/INV-04217.pdf,4,1,IT,Net 60,0
7953,Ford-Spencer,104001.2,2023-02-08,data/invoices/INV-07953.pdf,1,4,Legal,Net 60,1
5971,"Turner, Schneider and Johnson",4763.54,2023-05-29,data/invoices/INV-05971.pdf,6,1,Admin,Net 15,0
3351,Nolan and Sons,21194.43,2024-02-07,data/invoices/INV-03351.pdf,14,1,Admin,Net 30,0
4696,Manning Group,19269.58,2023-02-18,data/invoices/INV-04696.pdf,7,1,Legal,Net 30,0
3400,"Ramsey, Whitney and Coffey",19613.57,2023-06-30,data/invoices/INV-03400.pdf,0,1,Marketing,Net 60,0
4082,Wolf-Harris,18807.7,2023-04-08,data/invoices/INV-04082.pdf,10,1,Admin,Immediate,0
9150,Kelly-Norman,75403.22,2024-02-07,data/invoices/INV-09150.pdf,3,6,Admin,Immediate,1
1225,"Hernandez, Thompson and Boyd",24791.03,2024-03-08,data/invoices/INV-01225.pdf,1,1,HR,Net 60,0
6293,"Rivera, Johnson and Wiley",6031.7,2023-11-21,data/invoices/INV-06293.pdf,4,1,Operations,Net 15,0
3123,"Dyer, Potter and Mack",8189.34,2024-02-17,data/invoices/INV-03123.pdf,2,1,Admin,Net 30,0
511,Schroeder-Kramer,13271.31,2023-07-28,data/invoices/INV-00511.pdf,4,1,Marketing,Net 90,0
5795,Burgess-Thompson,7326.69,2023-12-27,data/invoices/INV-05795.pdf,0,1,Admin,Immediate,0
8182,"Conner, Li and Santiago",123868.9,2023-10-02,data/invoices/INV-08182.pdf,2,6,Operations,Net 90,1
9418,Robertson-Hays,52818.97,2023-01-16,data/invoices/INV-09418.pdf,0,4,Operations,Net 15,1
97,Gonzalez Group,2206.83,2024-01-24,data/invoices/INV-00097.pdf,10,1,HR,Immediate,0
6682,"Dyer, Potter and Mack",15201.78,2023-11-04,data/invoices/INV-06682.pdf,11,1,IT,Immediate,0
1513,Howard-Jordan,4301.33,2024-05-25,data/invoices/INV-01513.pdf,9,1,HR,Net 60,0
8792,"Fuller, Ingram and Moss",78595.08,2023-02-26,data/invoices/INV-08792.pdf,2,3,Admin,Net 60,1
120,Hughes-Alvarado,9443.45,2024-04-09,data/invoices/INV-00120.pdf,8,1,Finance,Net 90,0
7792,Cox LLC,123735.6,2023-12-12,data/invoices/INV-07792.pdf,0,6,Admin,Net 30,1
6518,Johnson-Doyle,6771.05,2023-04-12,data/invoices/INV-06518.pdf,11,1,HR,Net 60,0
34,"Garcia, Martin and Jenkins",3263.82,2024-03-17,data/invoices/INV-00034.pdf,11,1,Operations,Immediate,0
7888,"Kim, Gonzales and Mills",149299.69,2023-11-28,data/invoices/INV-07888.pdf,2,5,Marketing,Net 15,1
6831,Perry-Davis,2227.98,2023-08-26,data/invoices/INV-06831.pdf,11,1,Operations,Net 60,0
5422,Guerrero Inc,18300.95,2023-05-26,data/invoices/INV-05422.pdf,13,1,Marketing,Net 30,0
1069,Meadows PLC,24197.78,2023-01-17,data/invoices/INV-01069.pdf,1,1,Finance,Net 30,0
1348,Gonzales-Harrison,17006.14,2023-05-24,data/invoices/INV-01348.pdf,12,1,Marketing,Net 60,0
4748,Smith PLC,13170.8,2023-04-01,data/invoices/INV-04748.pdf,6,1,Marketing,Net 15,0
6006,Russell-Daniels,13564.29,2024-06-14,data/invoices/INV-06006.pdf,11,1,Legal,Net 30,0
6040,"Ramos, Nelson and Fischer",22187.45,2023-09-17,data/invoices/INV-06040.pdf,5,1,IT,Net 30,0
3818,"Mcdaniel, Bentley and Mclaughlin",13683.63,2024-03-30,data/invoices/INV-03818.pdf,0,1,Operations,Net 60,0
8447,"Carter, Garcia and Murphy",142935.94,2024-06-12,data/invoices/INV-08447.pdf,3,2,HR,Immediate,1
5270,Valentine-Holland,6599.04,2024-06-15,data/invoices/INV-05270.pdf,9,1,Legal,Net 15,0
6898,Baxter Inc,12277.13,2023-03-13,data/invoices/INV-06898.pdf,14,1,Finance,Net 60,0
5310,"Mcclain, Miller and Henderson",19278.65,2023-09-22,data/invoices/INV-05310.pdf,9,1,Legal,Net 15,0
32,Schmitt PLC,7683.45,2024-05-12,data/invoices/INV-00032.pdf,6,1,Marketing,Net 60,0
5675,Garcia-Jennings,24826.02,2024-01-05,data/invoices/INV-05675.pdf,14,1,IT,Immediate,0
4387,Lee-Davis,2792.49,2023-03-04,data/invoices/INV-04387.pdf,15,1,Marketing,Net 30,0
30,Baird-Sanchez,6522.75,2023-08-14,data/invoices/INV-00030.pdf,0,1,IT,Net 30,0
4203,Ross LLC,10797.02,2023-02-16,data/invoices/INV-04203.pdf,9,1,Admin,Net 90,0
7508,"Henderson, Cox and Cox",103852.49,2023-08-06,data/invoices/INV-07508.pdf,1,3,Operations,Immediate,1
736,Meadows PLC,8880.31,2023-11-10,data/invoices/INV-00736.pdf,4,1,Marketing,Net 15,0
2068,Price LLC,2602.53,2023-08-20,data/invoices/INV-02068.pdf,11,1,Legal,Net 30,0
107,Gibson Ltd,20109.45,2023-02-12,data/invoices/INV-00107.pdf,11,1,Marketing,Immediate,0
9645,"Hartman, Romero and Smith",57153.66,2023-03-27,data/invoices/INV-09645.pdf,2,4,Operations,Net 90,1
8895,Kelly-Norman,73871.29,2023-07-23,data/invoices/INV-08895.pdf,0,2,Operations,Net 90,1
8021,Morgan-Lopez,68936.45,2023-07-24,data/invoices/INV-08021.pdf,2,6,HR,Immediate,1
2233,White-Green,16889.31,2023-09-20,data/invoices/INV-02233.pdf,9,1,Admin,Net 90,0
994,Stafford Inc,10206.39,2023-03-30,data/invoices/INV-00994.pdf,13,1,Operations,Net 60,0
9413,"Cole, Glass and Cunningham",76664.13,2023-01-28,data/invoices/INV-09413.pdf,1,2,IT,Net 30,1
7059,"Brown, Romero and Collins",43875.35,2023-09-28,data/invoices/INV-07059.pdf,3,5,Legal,Immediate,1
6790,Salazar-Ball,5717.27,2023-09-02,data/invoices/INV-06790.pdf,5,1,Legal,Net 15,0
361,Doyle Ltd,8246.7,2023-01-12,data/invoices/INV-00361.pdf,8,1,Legal,Net 90,0
305,Torres-Pope,20953.38,2024-06-14,data/invoices/INV-00305.pdf,4,1,Finance,Net 60,0
2628,"Garcia, Humphrey and Baker",20429.21,2023-05-08,data/invoices/INV-02628.pdf,3,1,HR,Immediate,0
8966,"Marshall, Dominguez and Welch",128206.53,2024-05-08,data/invoices/INV-08966.pdf,3,3,Admin,Net 30,1
4514,Good-Hodges,17641.97,2023-10-04,data/invoices/INV-04514.pdf,10,1,IT,Immediate,0
5911,Gibson-Morris,21724.82,2023-02-06,data/invoices/INV-05911.pdf,4,1,Finance,Net 30,0
8314,Ortiz-Morgan,89072.0,2023-09-13,data/invoices/INV-08314.pdf,3,5,Operations,Immediate,1
3101,Robinson-Brock,1471.55,2023-09-26,data/invoices/INV-03101.pdf,7,1,Marketing,Net 15,0
5704,"Mitchell, Nelson and Flores",7410.35,2023-07-15,data/invoices/INV-05704.pdf,7,1,Admin,Net 60,0
3899,"Diaz, Gibbs and Smith",4981.69,2023-03-21,data/invoices/INV-03899.pdf,11,1,Admin,Net 90,0
5441,"Wood, Tran and Cooper",11559.06,2023-09-21,data/invoices/INV-05441.pdf,10,1,HR,Net 90,0
7931,"Hall, Hansen and Barnett",139495.7,2023-01-21,data/invoices/INV-07931.pdf,0,6,Finance,Net 90,1
622,Galloway-Wyatt,16374.27,2023-10-11,data/invoices/INV-00622.pdf,8,1,Legal,Net 90,0
7236,"Brown, Romero and Collins",131942.05,2023-09-05,data/invoices/INV-07236.pdf,3,4,Finance,Net 90,1
2499,Robinson-Lee,12632.75,2023-11-18,data/invoices/INV-02499.pdf,6,1,Admin,Net 60,0
714,"Gardner, Robinson and Lawrence",22982.38,2023-04-27,data/invoices/INV-00714.pdf,12,1,Finance,Net 15,0
8404,"Bentley, Lynch and Henderson",143044.46,2024-04-01,data/invoices/INV-08404.pdf,0,2,Admin,Net 30,1
2856,"Simmons, Meadows and Griffin",6825.19,2024-03-05,data/invoices/INV-02856.pdf,4,1,Finance,Net 15,0
4270,"Pugh, Henderson and Moon",13144.77,2023-08-02,data/invoices/INV-04270.pdf,3,1,Finance,Net 15,0
2909,"Mcdaniel, Bentley and Mclaughlin",12351.46,2024-02-12,data/invoices/INV-02909.pdf,3,1,Operations,Immediate,0
8081,Robertson-Hays,75366.11,2023-05-31,data/invoices/INV-08081.pdf,1,4,Finance,Net 90,1
4517,Gregory-Watkins,2616.73,2023-05-22,data/invoices/INV-04517.pdf,4,1,IT,Net 30,0
1262,Walsh LLC,18002.88,2023-09-20,data/invoices/INV-01262.pdf,2,1,IT,Net 15,0
3161,Warner-Gibson,10858.95,2023-05-09,data/invoices/INV-03161.pdf,3,1,Marketing,Net 15,0
971,"Thomas, Lee and Greene",8206.82,2023-11-28,data/invoices/INV-00971.pdf,0,1,IT,Net 90,0
3913,Garcia-Smith,10214.34,2023-10-02,data/invoices/INV-03913.pdf,2,1,Marketing,Net 60,0
5199,Campbell-Clark,10300.68,2023-09-27,data/invoices/INV-05199.pdf,1,1,Operations,Immediate,0
8847,Mckee-Lee,70065.93,2023-03-17,data/invoices/INV-08847.pdf,0,4,Marketing,Immediate,1
260,Reid Group,16388.3,2024-01-16,data/invoices/INV-00260.pdf,3,1,Legal,Net 15,0
3791,"Reid, Ferguson and Sanchez",21455.23,2024-03-28,data/invoices/INV-03791.pdf,8,1,Admin,Net 15,0
9203,"Marshall, Dominguez and Welch",67144.06,2023-12-31,data/invoices/INV-09203.pdf,3,4,HR,Immediate,1
488,Perez Inc,14587.41,2024-05-11,data/invoices/INV-00488.pdf,10,1,Legal,Net 30,0
7908,"Conner, Li and Santiago",107204.61,2023-09-16,data/invoices/INV-07908.pdf,3,2,HR,Immediate,1
519,Johnston-Hines,5005.15,2023-06-11,data/invoices/INV-00519.pdf,8,1,Admin,Net 30,0
8343,"Gregory, Kim and Martinez",61150.95,2023-11-20,data/invoices/INV-08343.pdf,1,6,Marketing,Net 30,1
312,"Pierce, Bell and Chavez",8138.41,2023-03-16,data/invoices/INV-00312.pdf,1,1,HR,Immediate,0
3232,Gay Inc,8060.83,2023-05-25,data/invoices/INV-03232.pdf,12,1,Marketing,Net 15,0
7933,Davis-Gregory,132535.6,2024-01-08,data/invoices/INV-07933.pdf,0,5,Finance,Net 30,1
7458,"Miller, Lucas and Williams",147021.43,2023-09-24,data/invoices/INV-07458.pdf,1,5,Operations,Net 30,1
9784,Collins Group,106616.11,2024-02-15,data/invoices/INV-09784.pdf,1,4,Marketing,Net 30,1
5184,"Morales, Thomas and Schultz",1575.49,2024-06-01,data/invoices/INV-05184.pdf,1,1,Legal,Net 15,0
8077,Jones-Lin,60223.39,2024-06-13,data/invoices/INV-08077.pdf,3,4,Legal,Net 15,1
6502,Harrell LLC,11750.22,2023-06-12,data/invoices/INV-06502.pdf,15,1,HR,Net 90,0
6791,Garner-Thornton,16207.34,2024-04-03,data/invoices/INV-06791.pdf,0,1,HR,Immediate,0
7773,"Richardson, Edwards and Ramirez",105285.34,2023-07-28,data/invoices/INV-07773.pdf,3,2,IT,Net 15,1
2738,Anderson-Bailey,3342.5,2023-10-23,data/invoices/INV-02738.pdf,9,1,Marketing,Net 15,0
7842,"Henderson, Cox and Cox",102939.01,2023-09-13,data/invoices/INV-07842.pdf,2,3,Admin,Immediate,1
6262,Rasmussen LLC,17048.0,2023-01-16,data/invoices/INV-06262.pdf,8,1,IT,Net 30,0
8206,Blake Group,111820.28,2023-01-27,data/invoices/INV-08206.pdf,2,4,Marketing,Net 30,1
1248,Vargas Ltd,18125.53,2023-05-14,data/invoices/INV-01248.pdf,13,1,Admin,Net 90,0
9336,Harper and Sons,57023.24,2023-07-11,data/invoices/INV-09336.pdf,0,3,IT,Immediate,1
4195,Donovan-Harris,11342.88,2023-01-06,data/invoices/INV-04195.pdf,0,1,IT,Immediate,0
8001,"Carter, Garcia and Murphy",95232.93,2023-11-06,data/invoices/INV-08001.pdf,2,3,IT,Immediate,1
7378,"Conner, Li and Santiago",92626.04,2024-05-03,data/invoices/INV-07378.pdf,3,4,Admin,Net 15,1
3435,Ruiz Ltd,12389.6,2023-03-17,data/invoices/INV-03435.pdf,5,1,Operations,Immediate,0
5382,Morton-Chase,18956.04,2024-06-15,data/invoices/INV-05382.pdf,11,1,Admin,Net 60,0
959,Powell LLC,19895.38,2023-07-01,data/invoices/INV-00959.pdf,14,1,Legal,Net 15,0
417,Hughes-Alvarado,14580.56,2023-04-08,data/invoices/INV-00417.pdf,1,1,HR,Net 60,0
5742,Harris-Walters,19029.45,2023-09-10,data/invoices/INV-05742.pdf,8,1,Operations,Immediate,0
6728,"Clark, Guerrero and Moore",16871.59,2023-12-09,data/invoices/INV-06728.pdf,6,1,Legal,Net 30,0
4382,"Lee, Horton and Snyder",22447.17,2023-02-09,data/invoices/INV-04382.pdf,4,1,Marketing,Net 15,0
5197,Rodriguez LLC,23855.2,2024-06-16,data/invoices/INV-05197.pdf,11,1,IT,Net 90,0
1113,Torres-Pope,13353.68,2024-01-08,data/invoices/INV-01113.pdf,1,1,IT,Immediate,0
2689,Reid Group,23850.41,2023-11-04,data/invoices/INV-02689.pdf,8,1,IT,Net 60,0
6473,Gonzales-Harrison,10659.69,2024-02-28,data/invoices/INV-06473.pdf,3,1,Operations,Net 60,0
8820,Mendez and Sons,107945.72,2023-12-03,data/invoices/INV-08820.pdf,0,3,Finance,Net 60,1
7808,Walker-Flores,144425.73,2024-06-03,data/invoices/INV-07808.pdf,3,5,Admin,Net 15,1
3411,Baird-Sanchez,6334.27,2023-07-07,data/invoices/INV-03411.pdf,2,1,Admin,Immediate,0
81,"Stanley, Tucker and Lee",16745.39,2023-01-06,data/invoices/INV-00081.pdf,3,1,Admin,Immediate,0
4614,Frank-Bradley,23042.94,2023-10-25,data/invoices/INV-04614.pdf,3,1,Admin,Immediate,0
